|nemotecnico|fecha|cantidad|volumen|precio_cierre|precio_mayor|precio_medio|precio_menor|variacion%|variacion_log
0|BCOLOMBIA|2019-10-02|284830.0|11269329860.0|39500.0|39980.0|39565.11|39500.0|-1.25|-0.012578782206860073
1|BCOLOMBIA|2019-10-03|140793.0|5645285220.0|40160.0|40200.0|40096.35|39060.0|1.67|0.016570803476397528
2|BCOLOMBIA|2019-10-04|24249.0|975559920.0|40300.0|40300.0|40230.93|39880.0|0.35|0.0034799935691636496
3|BCOLOMBIA|2019-10-07|573422.0|22946179680.0|40360.0|40400.0|40016.22|40000.0|0.15|0.0014877265327709898
4|BCOLOMBIA|2019-10-08|97905.0|3917192380.0|40200.0|40200.0|40010.14|39540.0|-0.4|-0.003972199860432803
5|BCOLOMBIA|2019-10-09|33205.0|1325212880.0|39620.0|40180.0|39910.04|39620.0|-1.44|-0.01453295435457045
6|BCOLOMBIA|2019-10-10|122717.0|4872730000.0|39500.0|40100.0|39707.05|39500.0|-0.3|-0.0030333693633286603
7|BCOLOMBIA|2019-10-11|118495.0|4729885900.0|40000.0|40000.0|39916.33|39460.0|1.27|0.012578782206860185
8|BCOLOMBIA|2019-10-15|182687.0|7253161260.0|39360.0|40100.0|39702.67|39260.0|-1.6|-0.016129381929883644
9|BCOLOMBIA|2019-10-16|208288.0|8284105280.0|39900.0|39980.0|39772.36|39380.0|1.37|0.013626251711765056
10|BCOLOMBIA|2019-10-17|242246.0|9717803460.0|40100.0|40380.0|40115.43|39340.0|0.5|0.005000010416705839
11|BCOLOMBIA|2019-10-18|116508.0|4651978800.0|39980.0|40000.0|39928.41|39600.0|-0.3|-0.0029970052402695105
12|BCOLOMBIA|2019-10-21|195747.0|8014816880.0|42000.0|42000.0|40944.78|39680.0|5.05|0.04929028921111438
13|BCOLOMBIA|2019-10-22|440039.0|18058278680.0|41480.0|41980.0|41037.91|40500.0|-1.24|-0.012458234922041726
14|BCOLOMBIA|2019-10-23|129591.0|5336864260.0|41400.0|41500.0|41182.37|40540.0|-0.19|-0.0019305025300578502
15|BCOLOMBIA|2019-10-24|181082.0|7446872520.0|40920.0|41640.0|41124.31|40920.0|-1.16|-0.011661939747842975
16|BCOLOMBIA|2019-10-25|48959.0|2029801560.0|41500.0|41680.0|41459.21|40700.0|1.42|0.01407448615322687
17|BCOLOMBIA|2019-10-28|158585.0|6499173360.0|40620.0|41500.0|40982.27|40620.0|-2.12|-0.021432871084414044
18|BCOLOMBIA|2019-10-29|283626.0|11659173080.0|41300.0|41480.0|41107.56|40800.0|1.67|0.01660194381474836
19|BCOLOMBIA|2019-10-30|139512.0|5720453200.0|40940.0|41380.0|41003.31|40840.0|-0.87|-0.008754919733843559
20|BCOLOMBIA|2019-10-31|514103.0|21127894720.0|41100.0|41340.0|41096.62|40420.0|0.39|0.003900541269045452
21|BCOLOMBIA|2019-11-01|165749.0|6917078640.0|41960.0|41960.0|41732.25|41080.0|2.09|0.020708662025907414
22|BCOLOMBIA|2019-11-05|379292.0|16191734900.0|43800.0|43800.0|42689.37|42000.0|4.39|0.042917033854303996
23|BCOLOMBIA|2019-11-06|134872.0|5896483320.0|43780.0|43800.0|43719.11|43020.0|-0.05|-0.00045672528768358166
24|BCOLOMBIA|2019-11-07|94486.0|4096735640.0|43400.0|44200.0|43358.12|42900.0|-0.87|-0.008717650988357722
25|BCOLOMBIA|2019-11-08|187989.0|8025767140.0|42660.0|43740.0|42692.75|42100.0|-1.71|-0.01719772806315467
26|BCOLOMBIA|2019-11-12|271989.0|11398229900.0|41980.0|42260.0|41906.95|41560.0|-1.59|-0.016068398650717557
